shoe_name,shoe_price,shoe_category,shoe_nColors
Tenis UltraBOOST 1.0 ATR,"$3,999",Sportswear,1
Tenis Hyperturf Adventure,"$1,887",Originals,9
Tenis Ultraboost Light 23,"$2,359",Hombre Running,2
CRAZY 8,"$3,599",Originals,1
PUREBOOST 23,"$3,299",Running,1
Tenis Courtblock,"$1,199",Sportswear,8
Tenis Questar,"$1,500",Running,8
Calzado de Fútbol Copa Pure II Pro Terreno Firme,"$3,499",Fútbol,1
Tenis Gazelle 85,"$2,599",Originals,5
Tenis de Senderismo TERREX WMN MID RAIN.RDY,"$3,299",TERREX,1
Tenis Forum Low,"$2,015",Originals,11
Tenis Crazy 8,Unknown,Originals,1
Tenis de Trail Running Terrex Trail Rider,"$2,599",TERREX,3
ADIZERO ADIOS PRO 3 M,"$4,999",Running,7
Calzado de fútbol Copa Pure II League,"$1,999",Fútbol,2
Tenis Everyset,"$1,699",Training,6
Sandalias Adilette Aqua (UNISEX),$799,Yoga,15
Tenis Running Switch Run,"$1,737",Running,5
Tenis Stan Smith Bonega,"$2,399",Originals,3
Tenis Aloha Super,"$2,199",Originals,1
Tenis Top Ten RB,"$1,586",Originals,12
Tenis Galaxy 6,"$1,109",Running,14
Tenis Adifom Climacool,"$2,399",Originals,3
Tenis para Mountain Bike Five Ten Freerider Pro,"$3,023",TERREX,1
Tenis VS Pace 2.0,"$1,299",Sportswear,2
Tenis Duramo SL,"$1,499",Running,11
Tenis Response,"$1,511",Running,6
Tenis adidas Grand Court Cloudfoam Comfort,"$1,499",Sportswear,10
Tenis X_PLORBOOST,"$2,359",Sportswear,17
Tenis X_PLR Phase,"$2,399",Sportswear,2
Restound M,"$1,263",Running,2
Zapatos de Golf Codechaos 22 BOOST,"$2,359",Hombre Golf,1
Zapatillas de Mountain Bike Five Ten Freerider,"$2,132",TERREX,2
Tenis ZNCHILL LIGHTMOTION+,"$1,710",Sportswear,4
Tenis Grand Court 2.0,"$1,699",Sportswear,10
Tenis Galaxy 6,"$1,499",Running,14
Zapatos de Golf Tour360 24 BOOST,"$4,999",Hombre Golf,3
Tenis Advantage Base adidas Court Lifestyle,"$1,299",Sportswear,6
Tenis ZNSORED Hi,"$2,299",Sportswear,3
CENTENNIAL 85 LO,"$2,199",Originals,1
Tenis Dame 8 EXTPLY,"$3,399",Basketball,4
Tenis NY 90,"$1,699",Originals,7
Tenis Hyperturf Adventure,"$2,047",Originals,9
Tenis de Senderismo Terrex AX4,"$2,899",TERREX,2
Calzado de Fútbol Predator Club Pasto Sintético,"$1,499",Fútbol,2
Tenis Ozelia,"$2,599",Originals,7
Tenis Response,"$2,687",Originals,2
Tenis Superstar XLG,"$2,599",Originals,2
Tenis adidas Grand Court TD Lifestyle Court Casual,"$1,399",Sportswear,7
Tenis Nizza Trek,"$1,816",Originals,2
Tenis de Running Alphabounce+ Sustainable Bounce,"$1,899",Sportswear,10
Tenis Rapidmove ADV,"$2,209",Training,6
Tenis Response Super 3.0,"$1,737",Running,3
Calzado de Fútbol Copa Mundial,"$4,999",Fútbol,1
Tenis X_PLR Pulse,"$1,199",Sportswear,5
Tenis Solarboost 5,"$2,241",Running,2
Tenis Ultraboost 23,"$2,559",Running,17
Tenis Racer TR21,"$1,479",Sportswear,8
Tenis Adistar 2.0,"$2,239",Running,7
Sandalias Adilette Aqua (UNISEX),$599,Sportswear,15
Zapatillas de Ciclismo de Montaña Five Ten Sleuth,"$1,999",TERREX,1
Tenis Galaxy 6,"$1,499",Running,14
Tenis Galaxy 6,"$1,499",Running,14
ADICANE SLIDE,$899,Sportswear,3
Tenis Rapidmove ADV,"$1,793",Training,5
Calzado de Fútbol Copa Pure II Club Multiterreno,"$1,399",Fútbol,3
Calzado X Crazyfast.4 Césped Artificial,"$1,499",Fútbol,3
Zapatos de Golf Tour360 24 BOOST,"$4,999",Hombre Golf,3
Tenis Breaknet 2.0,"$1,399",Sportswear,5
Tenis Adizero RC 4,"$1,931",Running,3
Sandalias Adilette Aqua (UNISEX),$599,Sportswear,15
Tenis adidas Grand Court TD Lifestyle Court Casual,"$1,399",Sportswear,6
Tenis de Running Alphabounce+ Sustainable Bounce,"$1,899",Sportswear,10
Tenis X_PLR Phase,"$2,399",Sportswear,2
Tenis Hoops 3.0 Mid Classic Vintage,"$1,599",Sportswear,10
Tenis EQ21 Run,"$1,699",Running,10
Tenis X_PLR BOOST,"$3,359",Hombre Running,17
Tenis Forum Low Classic,"$2,399",Originals,10
Tenis X_PLORBOOST,"$3,359",Sportswear,17
Tenis Rapidmove,"$1,658",Training,4
Tenis X_PLORBOOST,"$3,359",Hombre Sportswear,17
Tenis Duramo SL,"$1,499",Running,11
Tenis Campus ADV,"$2,199",Originals,1
Calzado de Fútbol Deportivo II Multiterreno,"$1,099",Fútbol,3
Calzado X Crazyfast.3 Cancha Cubierta,"$2,199",Fútbol,3
NMD_R1,"$2,999",Originals,2
Tenis Kaptir Flow,"$1,105",Sportswear,6
Tenis Superstar ADV,"$2,299",Originals,23
Calzado de Fútbol Copa Pure II Club Multiterreno,"$1,399",Fútbol,3
Tenis Adizero Boston 12,"$4,299",Running,8
Tenis NMD_R1,"$2,175",Originals,1
Tenis de Running Switch Move,"$1,399",Running,7
Sandalias Adilette 22,"$1,199",Hombre Originals,14
Tenis Galaxy Star,"$1,699",Running,3
Tenis Duramo Speed,"$2,199",Running,10
Tenis NMD_R1,"$2,855",Originals,10
Tenis Gamecourt 2.0 para Tenis,"$1,899",Tennis,4
Tenis Hoops 3.0 Low Classic Vintage,"$1,499",Hombre Sportswear,7
Tenis NMD_R1.V2,"$2,175",Hombre Originals,31
FORUM LOW CL,"$2,399",Originals,2
Tenis Ultraboost Light 23,"$4,299",Running,17
Tenis Adizero RC 4,"$1,816",Running,7
Sandalias adilette Aqua,$599,Sportswear,2
Sandalias Adilette Shower,$899,Sportswear,23
Tenis Run 60s 3.0 Lifestyle Running,"$1,499",Sportswear,8
Tenis X_PLORBOOST,"$3,359",Running,12
Tenis Nizza Platform Mid,"$1,847",Originals,1
Calzado X Crazyfast League Sin Cordones Pasto Sintético,"$2,399",Fútbol,1
Tenis de Running Alphabounce+ Sustainable Bounce,"$1,579",Sportswear,10
Tenis SOLARGLIDE 6,"$2,239",Running,7
Tenis de Entrenamiento Amplimove,"$1,399",Training,4
Tenis Ultraboost DNA x COPA World Cup,"$2,879",Sportswear,3
Tenis Adifom TRXN,"$2,599",Originals,2
Tenis Advantage Base,"$1,299",Sportswear,3
Tenis Barricade para Tenis,"$3,359",Tennis,1
Tenis OwnTheGame,"$1,499",Sportswear,7
Tenis de Trail Running Terrex Soulstride Flow,"$2,519",TERREX,3
Tenis Superstar Bonega,"$2,399",Originals,4
Tenis X_PLORBOOST,"$2,559",Hombre Sportswear,17
Tenis Alphaboost V1,"$2,132",Running,8
Tenis Lite Racer 3.0,"$1,299",Sportswear,8
Tenis NMD_G1,"$2,939",Originals,3
Tenis Ultrabounce,"$2,015",Running,14
Tenis Rivalry Low,"$2,399",Originals,13
Tenis Solarcontrol,"$2,111",Running,2
Tenis Campus 00s DDM,"$2,299",Originals,10
Tenis X_PLR Path,"$1,299",Sportswear,6
Tenis Duramo SL,"$1,499",Running,11
Tenis Lite Racer 3.0,"$1,299",Sportswear,8
Tenis Ultrabounce,"$1,535",Running,15
Tenis Y-3 Rivalry,"$9,499",Y-3,5
Tenis Dropset 2,"$2,599",Training,6
Tenis Supernova+,"$1,533",Hombre Running,3
Tenis Dropset 2,"$2,599",Training,10
Tenis NY 90,"$1,699",Originals,7
ADICANE SLIDE,$899,Sportswear,3
Tenis Superstar Bonega,"$2,399",Originals,4
Tenis Grand Court Base 2.0,"$1,399",Sportswear,6
Tenis Duramo Speed,"$1,737",Running,6
Tenis Superstar Supermodified,"$2,699",Originals,2
Tenis Lite Racer Rebold,"$1,399",Sportswear,2
Tenis Barricade para Tenis,"$3,359",Tennis,5
Tenis Supernova Running 3,"$1,895",Running,8
Tenis Response Runner,"$1,299",Running,12
Tenis Astir,"$2,183",Originals,1
Tenis de Trail Running Terrex Soulstride,"$2,199",TERREX,3
Tenis Superstar,"$2,199",Originals,2
Tenis Supernova 2.0,"$1,535",Running,1
Tenis adidas Grand Court 2.0,"$1,499",Sportswear,1
Tenis Torsion Response Tennis Mid,"$2,519",Originals,1
Tenis Everyset,"$1,699",Training,6
Levato W,$965,Running,2
Tenis Ultraboost Light 23,"$3,999",Running,21
Tenis Zx 8000,"$2,290",Originals,2
Zapatos de Golf ZG23,"$2,359",Hombre Golf,5
Tenis Stan Smith,"$2,099",Originals,10
Tenis Hoops 3.0 Corte Medio,"$1,599",Hombre Sportswear,10
Tenis Postmove Mid,"$1,799",Hombre Sportswear,4
Tenis Supernova Running 3,"$1,895",Running,8
Calzado de fútbol Predator 24 Club Sock,"$1,499",Fútbol,1
Tenis Nizza Platform,"$1,579",Originals,3
Calzado de fútbol Predator Accuracy.1 Césped Artificial,"$3,449",Fútbol,1
Tacos de Fútbol Copa Gloro Césped Artificial,"$2,519",Fútbol,1
Tenis Coreracer,"$1,199",Sportswear,3
D-PAD,"$1,899",Sportswear,3
Tenis adidas VL Court 3.0,"$1,499",Sportswear,1
Tenis Courtblock,"$1,199",Sportswear,10
Tenis Dropset 2,"$2,599",Training,10
Tenis adizero Cybersonic para Tenis,"$3,359",Tennis,2
Tenis Adistar CS 2.0,"$3,191",Running,3
Tenis Lite Racer 3.0,"$1,299",Sportswear,7
Tenis OZWEEGO,"$2,999",Originals,12
Court TNS Premiere Shoes,"$1,899",Originals,2
Tenis D.O.N. Issue 4,"$1,769",Basketball,5
Sandalias Adilette 22,"$1,299",Hombre Originals,4
Tenis Avryn,"$2,519",Sportswear,14
Tenis X_PLORBOOST,"$3,359",Sportswear,17
Tenis Superstar XLG,"$2,599",Originals,4
Tenis adidas Grand Court Cloudfoam Comfort,"$1,499",Sportswear,10
Tenis NMD_S1 Cali DeWitt,"$5,014",Originals,2
Tenis EQ21 Run,"$1,699",Running,10
Tenis Rapidmove ADV,"$2,053",Training,6
Tenis Heawyn,"$1,517",Sportswear,1
Y-3 SUPERSTAR,"$6,999",Y-3,5
Tenis Lite Racer Adapt 6.0,"$1,172",Sportswear,2
Tenis QT Racer 3.0,"$1,035",Sportswear,4
Tenis Run 60s 3.0 Lifestyle Running,"$1,499",Sportswear,8
Tenis OZWEEGO OG,"$2,519",Originals,3
Tenis Barricade para Tenis,"$3,299",Tennis,3
Tenis Galaxy 6,"$1,499",Running,14
Tenis Adizero Boston 12,"$4,299",Running,6
Tenis UBounce DNA,"$1,999",Sportswear,8
Tenis Avryn,"$2,519",Sportswear,14
Tenis Racer TR23,"$1,999",Sportswear,11
Tenis Grand Court 2.0,"$1,172",Sportswear,10
Tenis Response Runner,"$1,299",Running,12
Tenis Gazelle,"$2,099",Originals,14
Tenis Run 70s,"$1,799",Sportswear,4
Tenis Questar,"$1,899",Running,9
PREDATOR LEAGUE FG,"$2,199",Fútbol,2
Tenis Ultraboost 1.0,"$3,999",Sportswear,6
Tenis NMD_R1,"$2,999",Originals,31
Tenis Rivalry Low,"$1,775",Hombre Originals,13
ADIZERO SL,"$2,699",Running,16
Tenis EQ21 Run,"$1,699",Running,10
Tenis Lite Racer 3.0,"$1,299",Hombre Sportswear,3
Tenis UBounce DNA,"$1,999",Sportswear,8
Sandalias adilette Lite,$849,Originals,4
Tenis Superstar XLG,"$2,499",Originals,2
Tenis RUN50S,"$1,099",Sportswear,3
Tenis Duramo SL,"$1,499",Running,11
Calzado X Crazyfast.3 Terreno Firme,"$2,199",Fútbol,3
Calzado de fútbol X Crazyfast League Terreno Firme Sin Cordones,"$2,399",Fútbol,1
Tenis Superstar XLG,"$2,599",Originals,7
Tenis Stan Smith CS,"$1,658",Originals,7
Tenis Rivalry 86 Low 2.5,"$2,299",Originals,2
Tenis Pureboost 23,"$2,771",Hombre Running,5
FREE HIKER 2.0 LOW GORE-TEX,"$3,391",TERREX,3
Tenis X_PLORBOOST,"$2,359",Running,17
Tenis OZTRAL,"$2,771",Originals,6
Tenis Campus 80s,"$2,499",Originals,4
Tenis EQ19 Run,"$1,359",Running,1
Tenis de Trail Running Terrex Soulstride,"$1,974",TERREX,2
Tenis Pureboost 23,"$1,946",Running,5
Tenis X_PLR Phase,"$1,895",Sportswear,5
Tenis Adizero SL,"$2,699",Running,17
Y-3 MAKURA,"$6,489",Y-3,2
Tenis Ultrabounce,"$1,895",Running,14
NY 90,"$1,699",Originals,7
Calzado de Fútbol Copa Pure II.1 Pasto Sintético,"$4,499",Fútbol,1
S2G 23,"$1,974",Hombre Golf,1
Y-3 RUNNER 4D HALO,"$8,689",Y-3,3
Tenis Crazy Infinity,"$3,699",Originals,1
Y-3 NIZZA HI,"$6,999",Y-3,1
Tenis Park ST,"$1,599",Sportswear,3
Tenis Bounce Legends,"$1,899",Basketball,2
AMPLIMOVE TRAINER M,"$1,399",Training,4
Tenis Ultrabounce,"$1,895",Running,15
Tenis X_PLORBOOST,"$2,559",Sportswear,12
Tenis Park Street,"$1,599",Sportswear,2
Tenis Dropset 2,"$2,435",Training,10
Tenis X_PLORBOOST,"$2,359",Sportswear,17
Sandalias Adilette 22,"$1,299",Hombre Originals,4
Tenis country XLG,"$1,699",Originals,3
Tenis Dame Extply 2.0,"$1,999",Basketball,4
Tenis Adifom TRXN,"$2,209",Originals,2
SOLARMOTION 24,"$2,799",Hombre Golf,1
Tenis Everyset,"$1,699",Training,6
Calzado de fútbol X Crazyfast Club Multiterreno,"$1,499",Fútbol,1
Tenis Gamecourt 2.0 para Tenis,"$1,899",Tennis,2
Tenis Rivalry Low 86,"$2,699",Originals,1
Calzado de Futbol X CRAZYFAST.3 LL Terreno Firme,"$2,399",Fútbol,2
Tenis Running Switch Run,"$2,199",Running,3
ADIZERO ADIOS PRO 3 M,"$4,999",Running,7
Tenis Retropy E5,"$2,267",Originals,1
Tenis OZMILLEN,"$2,399",Originals,4
Sandalias adilette Aqua,$599,Sportswear,2
Tenis Adizero Boston 12,"$4,299",Running,6
Tenis OZTRAL,"$1,946",Originals,6
Tenis Ozelia,"$2,599",Originals,2
Tenis X_PLR Phase,"$2,015",Sportswear,5
Tenis Rivalry Low 86,"$2,699",Originals,1
Tenis Courtblock,"$1,199",Sportswear,8
Tenis Stan Smith x Homer Simpson,"$2,799",Originals,1
Tenis X_PLR Path,"$1,299",Sportswear,6
Tenis Superstar ADV,"$2,399",Originals,23
Tenis Top Ten RB,"$2,299",Originals,12
Sandalias Water Y-3,"$2,751",Y-3,1
Sandalias Adilette,"$1,034",Hombre Originals,23
Tenis Adizero Adios Pro 3,"$3,199",Running,6
Tenis Forum 84 Low ADV,"$2,699",Originals,2
Tenis Rapidmove ADV,"$1,663",Training,5
Tenis adidas Grand Court TD Lifestyle Court Casual,"$1,399",Sportswear,7
Tenis Duramo SL,"$1,499",Running,11
Calzado de Fútbol Predator Club Multiterreno,"$1,499",Fútbol,3
Calzado de Fútbol Copa Pure II Cancha Cubierta,"$1,399",Fútbol,1
Tenis AdiFOM TRXN,"$2,209",Originals,3
Tenis USA 84,"$1,399",Originals,5
Tenis Bounce Legends,"$1,500",Basketball,4
Tenis Duramo SL,"$1,269",Running,8
Tenis adidas Front Court,"$1,699",Sportswear,2
Tenis Rivalry Low,"$2,199",Originals,13
Tenis Samba Decon,"$2,599",Originals,2
Tenis Superstar,"$2,299",Originals,1
Tenis NMD_R1,"$3,399",Originals,31
Tenis NMD_R1,"$2,999",Originals,31
Tenis Campus 00s,"$2,499",Originals,4
Zapatos de Golf ZG23,"$2,759",Hombre Golf,5
Tenis NMD_S1,"$2,879",Originals,2
Tenis Postmove Mid,"$1,529",Hombre Sportswear,4
Calzado de Fútbol X Speedportal.1 Terreno Firme,"$4,799",Fútbol,2
Tenis Hoops 3.0 Corte Medio,"$1,263",Hombre Sportswear,10
Calzado de fútbol Predator Accuracy+ Terreno Firme,"$8,399",Fútbol,2
Tenis OZTRAL,"$1,946",Originals,6
Tenis Courtblock,"$1,199",Sportswear,8
Sandalias Adilette 22,$766,Hombre Originals,14
Tenis de Senderismo Eastrail 2.0,"$2,299",TERREX,3
Tenis Rivalry Low 86,"$2,699",Originals,3
Tenis de Trail Running Tracefinder,"$1,699",TERREX,1
Tenis Lite Racer 3.0,"$1,299",Sportswear,8
Tenis Swift Run,"$1,816",Sportswear,4
Tenis 3MC Vulc,"$1,599",Originals,2
Tenis de Trail Running Terrex Soulstride Flow,"$1,919",TERREX,4
Tenis OwnTheGame,"$1,499",Lifestyle,7
Tenis Y-3 Gazelle,"$6,999",Y-3,4
Tenis Everyset,"$1,699",Training,6
Tenis Indoor Ligra 7,"$1,999",Training,2
Tenis Puig Indoor,"$2,299",Originals,2
Tenis NMD_R1,"$2,855",Originals,10
Tenis Ultraboost 1.0,"$3,999",Sportswear,1
Tenis Swift Run,"$1,816",Sportswear,5
Trae Young 3,"$3,599",Basketball,1
Tenis de Senderismo Eastrail 2.0 RAIN.RDY Mid,"$2,999",TERREX,2
Y-3 KAIWA,"$7,999",Y-3,4
Y-3 RIVALRY,"$9,499",Y-3,5
Tenis Forum Low Classic,"$2,399",Originals,10
Tenis Kaptir Flow,"$1,399",Sportswear,6
Tenis Rivalry Low,"$2,199",Originals,13
Tenis Runfalcon 3 TR,"$1,421",Running,5
Tenis Torsion Tennis Low,"$1,895",Originals,1
Tenis CourtJam Control 3 para Tenis sobre Arcilla,"$1,899",Tennis,1
Y-3 RIVALRY,"$9,499",Y-3,5
Tenis X_PLR Pulse,"$1,199",Sportswear,5
Zapatillas de Mountain Bike Five Ten Freerider,"$2,132",TERREX,2
Tenis Handball Spezial,"$2,199",Originals,10
Tenis Runfalcon 2.0,"$1,399",Running,17
Tenis Alphaboost V1,"$2,132",Sportswear,3
Tenis Busenitz Vulc II,"$1,899",Originals,2
Y-3 RIVALRY,"$9,499",Y-3,5
ADIZERO SL,"$2,699",Running,16
Tenis Superstar XLG,"$2,599",Originals,4
Tenis Forum Deconstructed,"$2,799",Originals,2
Sandalias Adilette Shower,$899,Sportswear,1
Tenis Adizero RC 4,"$1,816",Running,3
Tenis Forum 84 Low Classic,"$2,435",Originals,4
Tenis Bounce Legends,"$1,899",Basketball,4
Tenis Ozelle Cloudfoam,"$1,799",Sportswear,4
Tenis Park Street,"$1,599",Sportswear,6
Tenis Ozelia,"$2,599",Originals,2
Tenis Gazelle,"$2,399",Originals,14
Tenis Rivalry Low 86,"$2,499",Originals,3
TENIS SOULSTRIDE FLOW GTX,"$2,654",TERREX,1
Tenis Superstar Lux,"$2,999",Originals,1
Tenis adizero Cybersonic para Tenis,"$3,999",Tennis,2
Tenis Racer TR23,"$1,999",Sportswear,11
Sandalias adilette,$735,Hombre Originals,23
Tenis Harden Vol. 7,"$3,999",Basketball,1
Tenis Dropset 2,"$2,435",Training,6
STAN SMITH CS,"$1,599",Originals,2
ADI2000,"$2,599",Originals,2
Tenis Avryn,"$2,519",Sportswear,14
Tenis Superstar PRIDE RM,"$1,895",Originals,1
Tenis de Básquet Lifestyle Hoops 3.0 Classic Vintage Corte Medio,"$1,599",Hombre Sportswear,10
Tenis adidas Grand Court TD Lifestyle Court Casual,"$1,399",Sportswear,7
Tenis Ultraboost Light 23,"$3,999",Running,21
Rivalry Mid Shoes,"$2,399",Originals,2
Tenis Galaxy 6,"$1,499",Running,14
Tenis 3MC,"$1,599",Originals,2
Tenis Solarglide 6,"$2,064",Running,1
ADISTAR CUSHION,"$2,367",Originals,2
Calzado de Fútbol Predator Club Pasto Sintético,"$1,499",Fútbol,2
FORUM 84 HI CLOSER LOOK (SYN),"$3,999",Originals,1
Tenis Advantage Base,"$1,299",Sportswear,3
Tenis Hoops 3.0 Low Classic Vintage,"$1,499",Sportswear,1
Tenis EQ19 Run,"$1,699",Running,3
Tenis Advantage,"$1,599",Hombre Sportswear,12
Tenis adidas adidas Court Tourino,"$1,500",Originals,3
TYSHAWN LOW,"$2,399",Originals,1
Tenis Adistar 2.0,"$3,499",Running,9
Tenis Racer TR23,"$1,999",Sportswear,11
Tenis Courtblock,"$1,199",Sportswear,8
Tenis Rivalry Low 86,"$2,599",Originals,1
Tenis Samba OG,"$2,199",Originals,2
Calzado de Fútbol X Crazyfast Elite Pasto Sintético,"$3,499",Fútbol,1
Calzado de Fútbol Copa Pure II League Terreno Firme,"$1,999",Fútbol,3
Tenis Barricade para Tenis,"$3,299",Tennis,3
Tenis Gazelle,"$2,099",Originals,14
RESPONSE CL W,"$2,687",Originals,2
Tenis CourtJam Control 3 para Tenis,"$1,899",Tennis,1
Zapatillas de Ciclismo de Ruta The Road Cycling Shoes,"$3,999",Ciclismo,1
Tenis Ultraboost Light,"$3,359",Running,21
Tenis Stan Smith,"$2,099",Originals,10
Tenis Kantana,"$1,899",Sportswear,1
Tenis D Rose Son of Chi 3,"$2,699",Basketball,3
Tenis X_PLR Phase,"$2,039",Sportswear,4
Calzado X Crazyfast.3 Terreno Firme,"$2,199",Fútbol,3
Sandalias Adilette 22,"$1,299",Hombre Originals,14
RESPONSE CL,"$3,199",Hombre Originals,2
Tenis Questar,"$1,899",Running,8
Sandalias Adilette Aqua (UNISEX),$599,Sportswear,15
Tenis Samba OG,"$2,199",Originals,2
Tenis adidas Grand Court Base 2.0,"$1,399",Hombre Sportswear,7
Tenis Trae Young 2.0,"$3,191",Basketball,7
Tenis Runfalcon 2.0,"$1,399",Running,17
Tenis Racer TR23,"$1,999",Sportswear,1
COURT TOURINO,"$1,899",Originals,3
CAMPUS 00s,"$2,499",Hombre Originals,10
Tenis Falcon,"$2,199",Originals,9
Tenis AlphaEdge +,"$1,599",Sportswear,4
FORUM LOW,"$2,399",Originals,1
Tenis para Mountain Bike Five Ten Freerider Pro,"$3,599",TERREX,1
Tenis Handball Spezial,"$2,199",Originals,10
Calzado de Fútbol Predator Accuracy.4 Pasto Sintético,"$1,499",Fútbol,3
Tenis Gazelle,"$2,099",Originals,2
Tenis Boston 11 Y-3,"$6,374",Y-3,1
Tenis Stan Smith CS,"$2,099",Originals,7
Tenis AlphaEdge +,"$1,599",Sportswear,3
Tenis Galaxy 6,"$1,499",Running,14
Tenis OZWEEGO,"$2,519",Originals,2
Tenis Duramo Speed,"$2,199",Running,10
Tenis Response Super,"$1,899",Running,5
Tenis Runfalcon 2.0,"$1,399",Running,17
Tenis Dropset 2,"$2,899",Training,10
Tenis OZELIA,"$2,599",Originals,2
Tenis Adizero Boston 12,"$3,611",Running,8
Calzado de Fútbol Predator Elite Terreno Firme,"$7,499",Fútbol,1
Tenis UBounce DNA,"$1,999",Sportswear,8
Sandalias Adilette 22,$766,Hombre Originals,14
Calzado de Fútbol Predator Elite Terreno Firme,"$6,999",Fútbol,1
Tenis Rivalry Hi,"$2,699",Originals,1
Tenis NY 90,"$1,699",Originals,5
Tenis Alphaboost V1,"$2,699",Hombre Running,8
Tenis Alphaboost V1,"$2,132",Sportswear,8
Tenis Web Boost,"$2,764",Sportswear,3
Botas de Senderismo Terrex Free Hiker 2.0 MWN,"$4,619",TERREX,1
Tenis X_PLR Path,"$1,299",Sportswear,6
Tenis Mocaturf Adventure,"$2,589",Originals,1
ADILETTE COMFORT,$999,Sportswear,5
Tenis de Senderismo Eastrail 2.0,"$2,299",TERREX,4
Tenis Handball Spezial,"$2,199",Originals,10
Calzado de Fútbol Predator Elite Sin Cordones Terreno Firme,"$6,999",Fútbol,1
Tenis Galaxy 6,"$1,499",Running,14
Tenis Rapidmove ADV,"$2,299",Training,6
Tenis NMD_S1,"$3,359",Originals,11
Tenis Swift Run,"$1,816",Sportswear,5
Tenis EQ21 Run,"$1,699",Running,10
Tenis Run 50S,"$1,099",Sportswear,5
Tenis NMD_R1,"$3,399",Originals,31
Tenis Ultraboost Light,"$3,999",Running,2
STAN SMITH LUX,"$3,299",Originals,1
Tenis Gazelle Bold,"$2,399",Originals,9
Tenis Response Super,"$1,899",Running,5
Tenis Racer TR21,"$1,999",Sportswear,8
Calzado de fútbol Predator Accuracy.2,"$3,999",Fútbol,3
Tenis adidas Grand Court TD Lifestyle Court Casual,"$1,399",Sportswear,2
Tenis Campus 00s,"$2,499",Originals,10
Tenis Adizero Takumi Sen 9,"$2,751",Running,3
Tenis Hoops 3.0 Low Classic Vintage,"$1,499",Sportswear,7
Tenis Fluidflow 3.0,"$1,579",Sportswear,3
Sandalias Adilette Shower,$899,Sportswear,23
Sandalias Adilette 22,"$1,299",Hombre Originals,14
Tenis NMD_R1,"$2,685",Originals,10
Tenis Hoops 3.0 Corte Medio,"$1,599",Sportswear,10
Tenis Samba OG,"$2,199",Originals,2
Tenis de Trail Running Terrex Soulstride,"$2,499",TERREX,2
Tenis Forum Low,"$1,895",Originals,11
RETROCROSS 24,"$2,499",Golf,3
Calzado de Golf Modern Classic 80 Spikeless,"$3,799",Golf,2
Tenis Ultraboost Light 23,"$3,359",Running,17
Sandalias Adilette Aqua (UNISEX),$599,Sportswear,15
Tenis de Running 4DFWD 3,"$5,499",Running,4
Tenis Samba adidas Originals,"$2,199",Originals,2
Tenis Run 70s,"$1,799",Sportswear,4
Tenis Galaxy Star,"$1,699",Running,3
Tenis Hoops 3.0 Mid Classic,"$1,599",Sportswear,4
Tenis Ultraboost Light 23 adidas by Stella McCartney,"$3,126",adidas by Stella McCartney,2
Tenis Grand Court 2.0,"$1,699",Sportswear,1
TRAE UNLIMITED,"$2,399",Basketball,3
Calzado X Crazyfast.4 Césped Artificial,"$1,499",Fútbol,3
Tenis adidas Court Tourino,"$1,405",Originals,3
Tenis Lite Racer 3.0,"$1,299",Sportswear,7
Calzado de fútbol X Crazyfast+ FG,"$9,999",Fútbol,1
Tenis Superstar,"$2,299",Originals,23
Tenis Grand Court 2.0,"$1,499",Sportswear,1
Tenis EQ21 Run,"$1,699",Running,10
Tenis Campus 00s,"$2,499",Originals,4
Tenis Adizero Takumi Sen 9,"$4,299",Hombre Running,3
RIVALRY HI,"$2,519",Originals,1
Tenis adidas Court Funk,"$1,279",Sportswear,4
Tenis Duramo SL,"$1,499",Running,11
Calzado X Crazyfast.3 Césped artificial,"$2,199",Fútbol,3
Tenis Courtblock,"$1,199",Sportswear,8
Tenis Ultrabounce,"$2,399",Running,15
Tenis NMD S1,"$4,199",Originals,1
Tenis Barricade para Tenis,"$3,359",Tennis,1
Tenis Superstar,"$2,199",Originals,23
Sandalias Adilette Aqua (UNISEX),$599,Sportswear,15
Tenis NMD S1,"$4,199",Originals,2
Tenis Avryn,Unknown,Sportswear,14
Tenis Forum Mid,"$2,599",Originals,1
Tenis de Senderismo de Piel RAIN.RDY,"$2,299",TERREX,1
Tenis Ultraboost Light 23,"$3,359",Running,21
NY 90,"$1,699",Originals,7
Tenis Swift Run 23,"$1,816",Sportswear,5
Tenis Gazelle,"$2,099",Originals,2
Tenis Adizero Boston 12,"$4,299",Running,8
Tenis Racer TR23,"$1,579",Sportswear,11
Tenis de Running Ultrabounce TR Bounce,"$2,053",Running,3
Tenis Adimatic,"$2,299",Originals,1
Sandalias Adilette 22,$961,Hombre Originals,14
ATTITUDE,"$2,399",Originals,1
Tenis Gazelle Bold,"$2,499",Originals,9
Tenis Stan Smith Recon,"$3,359",Originals,3
Tenis Midcity Mid,"$1,799",Hombre Sportswear,3
Tenis NMD_W1,"$3,107",Originals,3
Tenis Duramo SL,"$1,499",Running,11
Sandalias Adissage (UNISEX),$999,Sportswear,2
TOP TEN 2000 - ESPN,"$3,099",Originals,1
Zapatos de Golf ZG23,"$3,359",Hombre Golf,5
Tenis Duramo SL,"$1,499",Running,11
Tenis Stan Smith CS,"$2,099",Originals,7
Tenis Racer TR23,"$1,999",Hombre Sportswear,11
Tenis Breaknet 2.0,"$1,249",Sportswear,5
